i,j,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
2,6,79.0772534518582,26.97123711901969,7.837163675604353,27.288489425376444,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,659.0,17.33160120492228,22.942130114151393
2,7,2.56544235906746,21.57987937459858,4.794149554230371,77.88202894429791,4.223910702740622E-168,4.6381136606693145E-33,2.9564111463594294E-68,5.426073053966306E-17,1.12840001962794E-24,1.794883915610196E-118,1.0,1.0043947410691777E-169,265.0,21.401583492489777,16.126914552383433
2,8,55.153146847633685,14.080617813585725,3.8395912759877895,74.67304404017494,1.5562844516896808E-104,4.4346867810576235E-15,1.035584964987066E-34,1.9347631844121646E-9,1.2219557199645964E-11,1.3411170226518661E-68,3.7208162328978E-76,0.9999999980530128,198.99999961333447,20.023876402553736,10.51937413001479
2,9,62.25775612263023,17.43427725839217,5.082708953836107,30.098488893748492,0.0,0.0,0.0,8.669834909898656E-295,0.0,0.0,1.0,0.0,552.0,17.79286302506391,24.776052770380335
3,0,21.526580620033332,13.138587562732296,5.38167669149426,29.050476226438352,0.0,4.458719436923646E-157,1.785186866008133E-226,1.0,7.012310483384957E-138,2.5247662048E-313,0.0,0.0,419.0,18.05606360692963,8.36124744969143
3,1,7.552753739417806,19.769466662948386,4.97064290235002,60.237872926544334,0.0,0.0,1.0,2.383437574336058E-290,2.08E-322,0.0,0.0,0.0,553.0,20.904594387498264,37.02392859287644
3,2,40.70016346648262,24.55867277969313,6.110117972226888,94.51314917846253,0.0,1.589478169819202E-129,8.600107922929673E-195,1.7973423988050197E-93,1.228454151622735E-111,4.542358465169102E-277,1.000305761255466E-293,1.0,385.0,18.684493228016798,10.072255983529548
3,3,6.031283158386291,6.245929237732152,7.7028581133322955,87.53545273169672,0.0,4.251554024442836E-286,0.0,1.8712166454040126E-230,6.945964212254502E-259,0.0,0.0,1.0,510.0,12.864689832266949,13.614828719922352
3,4,45.43511761746467,1.8058055096233185,8.25395347276492,30.771786254378117,1.0,2.4185577353090615E-99,2.1663311805318304E-154,4.375657992311579E-70,1.1392639240173219E-84,8.21021195675788E-226,2.0095389132690205E-240,1.5792851512074156E-290,360.0,13.267840329224427,10.789176272155887
3,5,97.00384308195027,11.402898613670947,8.009658792853628,44.095352542990945,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,620.0,18.588902030549114,31.360726885563967
